Aqi_val,created
185,2020-03-01T00:00:20.048Z
203,2020-03-01T01:00:20.093Z
211,2020-03-01T02:00:20.068Z
226,2020-03-01T03:00:20.112Z
235,2020-03-01T04:00:20.124Z
164,2020-03-01T05:00:20.178Z
150,2020-03-01T06:00:20.212Z
141,2020-03-01T07:00:20.219Z
132,2020-03-01T08:00:20.266Z
106,2020-03-01T09:00:20.259Z
87,2020-03-01T10:00:20.324Z
85,2020-03-01T11:00:20.341Z
88,2020-03-01T12:00:20.401Z
93,2020-03-01T13:00:20.414Z
95,2020-03-01T14:00:20.465Z
98,2020-03-01T15:00:20.457Z
93,2020-03-01T16:00:20.461Z
110,2020-03-01T17:00:20.593Z
105,2020-03-01T18:00:20.535Z
139,2020-03-01T19:00:20.592Z
141,2020-03-01T20:00:20.584Z
143,2020-03-01T21:00:20.618Z
158,2020-03-01T22:00:20.644Z
159,2020-03-01T23:00:20.739Z
159,2020-03-02T00:00:20.731Z
173,2020-03-02T01:00:20.734Z
198,2020-03-02T02:00:20.769Z
159,2020-03-02T03:00:20.778Z
199,2020-03-02T04:00:20.806Z
172,2020-03-02T05:00:20.842Z
161,2020-03-02T06:00:20.864Z
136,2020-03-02T07:00:20.890Z
150,2020-03-02T08:00:20.917Z
143,2020-03-02T09:00:20.940Z
105,2020-03-02T10:00:20.960Z
90,2020-03-02T11:00:21.006Z
92,2020-03-02T12:00:21.066Z
99,2020-03-02T13:00:21.066Z
121,2020-03-02T14:00:21.099Z
125,2020-03-02T15:00:21.121Z
127,2020-03-02T16:00:21.223Z
124,2020-03-02T17:00:21.235Z
116,2020-03-02T18:00:21.225Z
125,2020-03-02T19:01:59.824Z
125,2020-03-02T20:01:59.858Z
129,2020-03-02T21:01:59.858Z
119,2020-03-02T22:01:59.929Z
118,2020-03-02T23:01:59.948Z
122,2020-03-03T00:02:00.018Z
142,2020-03-03T01:00:00.009Z
124,2020-03-03T02:00:00.012Z
108,2020-03-03T03:00:00.060Z
119,2020-03-03T04:00:00.061Z
136,2020-03-03T05:01:32.174Z
123,2020-03-03T06:01:32.198Z
129,2020-03-03T07:01:32.227Z
145,2020-03-03T08:01:32.277Z
126,2020-03-03T09:01:32.256Z
111,2020-03-03T10:18:10.560Z
96,2020-03-03T11:00:10.610Z
95,2020-03-03T12:00:10.660Z
96,2020-03-03T13:00:10.648Z
104,2020-03-03T14:00:10.696Z
103,2020-03-03T15:00:11.438Z
100,2020-03-03T16:00:10.757Z
100,2020-03-03T17:00:10.782Z
98,2020-03-03T18:00:10.825Z
96,2020-03-03T19:00:10.835Z
95,2020-03-03T20:00:10.888Z
90,2020-03-03T21:00:10.912Z
91,2020-03-03T22:00:10.969Z
83,2020-03-03T23:00:10.934Z
72,2020-03-04T00:00:10.989Z
68,2020-03-04T01:00:18.603Z
66,2020-03-04T02:00:18.633Z
66,2020-03-04T03:00:18.636Z
69,2020-03-04T04:00:18.658Z
77,2020-03-04T05:00:18.693Z
84,2020-03-04T06:00:18.761Z
97,2020-03-04T07:00:18.792Z
97,2020-03-04T08:00:18.804Z
80,2020-03-04T09:00:18.836Z
74,2020-03-04T10:00:18.817Z
72,2020-03-04T11:00:18.884Z
77,2020-03-04T12:00:18.907Z
80,2020-03-04T13:00:18.952Z
99,2020-03-04T14:00:18.976Z
96,2020-03-04T15:00:18.992Z
98,2020-03-04T16:00:19.542Z
101,2020-03-04T17:00:19.116Z
111,2020-03-04T18:00:19.061Z
103,2020-03-04T19:00:19.124Z
100,2020-03-04T20:00:19.138Z
107,2020-03-04T21:00:19.150Z
99,2020-03-04T22:00:19.175Z
89,2020-03-04T23:00:19.217Z
84,2020-03-05T00:00:19.792Z
82,2020-03-05T01:00:19.268Z
76,2020-03-05T02:00:19.300Z
73,2020-03-05T03:00:19.291Z
64,2020-03-05T04:00:19.308Z
53,2020-03-05T05:00:19.377Z
59,2020-03-05T06:00:19.400Z
94,2020-03-05T07:02:19.416Z
73,2020-03-05T08:00:19.444Z
64,2020-03-05T09:00:19.477Z
59,2020-03-05T10:00:19.470Z
106,2020-03-05T18:28:59.895Z
105,2020-03-05T19:00:59.952Z
96,2020-03-05T20:00:59.919Z
87,2020-03-05T21:00:59.937Z
88,2020-03-05T22:01:00.013Z
91,2020-03-05T23:00:28.202Z
81,2020-03-06T00:00:28.245Z
94,2020-03-06T01:00:28.261Z
91,2020-03-06T02:00:28.301Z
76,2020-03-06T03:00:28.342Z
62,2020-03-06T04:00:28.368Z
52,2020-03-06T05:00:28.417Z
47,2020-03-06T06:00:28.430Z
80,2020-03-06T07:00:28.410Z
102,2020-03-06T08:00:28.479Z
80,2020-03-06T09:00:28.509Z
64,2020-03-06T10:00:28.489Z
57,2020-03-06T11:00:28.525Z
51,2020-03-06T12:00:28.589Z
51,2020-03-06T13:00:29.125Z
63,2020-03-06T14:00:28.615Z
64,2020-03-06T15:00:28.658Z
67,2020-03-06T16:00:28.710Z
75,2020-03-06T17:00:28.750Z
83,2020-03-06T18:00:28.747Z
93,2020-03-06T19:10:28.782Z
106,2020-03-06T20:00:20.532Z
111,2020-03-06T21:00:20.583Z
105,2020-03-06T22:00:20.605Z
91,2020-03-06T23:00:20.615Z
96,2020-03-07T00:00:20.677Z
92,2020-03-07T01:00:20.685Z
79,2020-03-07T02:00:20.702Z
105,2020-03-07T03:00:20.752Z
127,2020-03-07T04:00:20.743Z
137,2020-03-07T05:00:20.738Z
153,2020-03-07T06:00:20.767Z
154,2020-03-07T07:00:20.805Z
177,2020-03-07T08:00:20.850Z
163,2020-03-07T09:00:20.870Z
140,2020-03-07T10:00:20.873Z
136,2020-03-07T11:00:20.888Z
102,2020-03-07T12:00:20.974Z
101,2020-03-07T13:00:20.972Z
77,2020-03-07T14:00:20.990Z
69,2020-03-07T15:00:21.030Z
81,2020-03-07T16:00:21.081Z
89,2020-03-07T17:00:21.149Z
121,2020-03-07T18:00:21.166Z
106,2020-03-07T19:00:21.149Z
123,2020-03-07T20:00:21.217Z
145,2020-03-07T21:00:21.209Z
130,2020-03-07T22:00:21.723Z
120,2020-03-07T23:00:29.046Z
104,2020-03-08T00:00:29.095Z
95,2020-03-08T01:00:29.103Z
79,2020-03-08T02:00:29.171Z
81,2020-03-08T03:00:29.223Z
79,2020-03-08T04:00:29.221Z
72,2020-03-08T05:00:29.235Z
99,2020-03-08T06:00:29.303Z
241,2020-03-08T07:00:29.343Z
274,2020-03-08T08:00:29.379Z
165,2020-03-08T09:08:17.612Z
112,2020-03-08T10:00:17.635Z
142,2020-03-08T11:00:17.685Z
72,2020-03-08T12:00:18.160Z
68,2020-03-08T13:00:17.702Z
66,2020-03-08T14:00:17.719Z
69,2020-03-08T15:00:17.786Z
76,2020-03-08T16:00:17.812Z
95,2020-03-08T17:00:17.869Z
95,2020-03-08T18:00:17.875Z
96,2020-03-08T19:00:18.524Z
95,2020-03-08T20:00:17.957Z
91,2020-03-08T21:00:17.978Z
115,2020-03-08T22:00:18.476Z
120,2020-03-08T23:01:47.617Z
124,2020-03-09T00:01:46.431Z
100,2020-03-09T01:01:46.458Z
57,2020-03-09T02:01:46.507Z
62,2020-03-09T03:01:46.494Z
89,2020-03-09T04:01:46.503Z
97,2020-03-09T05:01:46.746Z
102,2020-03-09T06:01:46.605Z
117,2020-03-09T07:01:46.658Z
142,2020-03-09T08:01:46.648Z
132,2020-03-09T09:01:46.708Z
138,2020-03-09T10:01:35.084Z
130,2020-03-09T11:01:35.089Z
99,2020-03-09T12:01:35.107Z
75,2020-03-09T13:01:35.678Z
71,2020-03-09T14:01:35.668Z
72,2020-03-09T15:01:35.749Z
94,2020-03-09T16:01:36.282Z
111,2020-03-09T17:01:35.263Z
124,2020-03-09T18:01:35.342Z
139,2020-03-09T19:01:35.368Z
120,2020-03-09T20:01:35.351Z
112,2020-03-09T21:01:35.393Z
117,2020-03-09T22:01:35.420Z
143,2020-03-09T23:00:30.896Z
111,2020-03-10T00:00:30.593Z
94,2020-03-10T01:01:54.271Z
99,2020-03-10T02:01:37.847Z
103,2020-03-10T03:01:37.808Z
94,2020-03-10T04:01:37.861Z
100,2020-03-10T05:01:38.370Z
123,2020-03-10T06:01:37.887Z
140,2020-03-10T07:01:37.959Z
145,2020-03-10T08:01:37.974Z
114,2020-03-10T09:01:38.002Z
114,2020-03-10T10:01:38.067Z
118,2020-03-10T11:01:38.063Z
96,2020-03-10T12:01:38.122Z
96,2020-03-10T13:01:38.140Z
91,2020-03-10T14:01:38.180Z
94,2020-03-10T20:15:13.454Z
97,2020-03-10T21:01:13.497Z
75,2020-03-10T22:01:13.568Z
65,2020-03-10T23:01:14.008Z
94,2020-03-11T00:01:13.484Z
111,2020-03-11T01:01:13.587Z
60,2020-03-11T02:01:13.574Z
78,2020-03-11T03:01:13.621Z
76,2020-03-11T04:01:13.628Z
72,2020-03-11T05:01:13.687Z
63,2020-03-11T06:01:13.720Z
83,2020-03-11T07:01:13.725Z
77,2020-03-11T08:01:13.739Z
58,2020-03-11T09:01:13.786Z
61,2020-03-11T10:01:13.819Z
66,2020-03-11T11:01:13.817Z
70,2020-03-11T12:01:13.844Z
62,2020-03-11T13:01:13.883Z
79,2020-03-11T14:01:13.922Z
69,2020-03-11T15:01:13.957Z
62,2020-03-11T16:01:13.981Z
66,2020-03-11T17:01:14.023Z
80,2020-03-11T18:01:15.372Z
91,2020-03-11T19:01:14.071Z
95,2020-03-11T20:01:14.131Z
91,2020-03-11T21:01:14.193Z
76,2020-03-11T22:01:14.165Z
75,2020-03-11T23:01:14.169Z
100,2020-03-12T00:01:14.193Z
122,2020-03-12T01:01:14.248Z
100,2020-03-12T02:01:14.296Z
104,2020-03-12T03:01:14.310Z
108,2020-03-12T04:01:14.331Z
99,2020-03-12T05:01:14.358Z
106,2020-03-12T06:01:14.378Z
114,2020-03-12T07:01:14.417Z
123,2020-03-12T08:01:14.446Z
96,2020-03-12T09:01:14.436Z
76,2020-03-12T10:01:17.045Z
79,2020-03-12T11:01:17.039Z
77,2020-03-12T12:01:17.061Z
77,2020-03-12T13:01:17.092Z
72,2020-03-12T14:01:17.135Z
70,2020-03-12T15:01:17.199Z
69,2020-03-12T16:01:17.189Z
78,2020-03-12T17:01:17.252Z
91,2020-03-12T18:01:18.200Z
96,2020-03-12T19:01:17.272Z
104,2020-03-12T20:01:17.313Z
112,2020-03-12T21:01:17.335Z
103,2020-03-12T22:01:17.392Z
99,2020-03-12T23:01:17.396Z
84,2020-03-13T00:01:17.390Z
76,2020-03-13T01:01:17.453Z
117,2020-03-13T02:01:17.479Z
118,2020-03-13T03:01:17.471Z
154,2020-03-13T04:01:17.520Z
144,2020-03-13T05:01:17.560Z
112,2020-03-13T06:01:17.571Z
162,2020-03-13T07:01:17.638Z
156,2020-03-13T08:01:17.666Z
114,2020-03-13T09:01:17.682Z
75,2020-03-13T10:01:17.719Z
74,2020-03-13T11:01:17.715Z
70,2020-03-13T12:01:17.773Z
67,2020-03-13T13:01:18.277Z
71,2020-03-13T14:01:18.319Z
79,2020-03-13T15:01:17.853Z
86,2020-03-13T16:01:17.876Z
120,2020-03-13T17:01:17.894Z
126,2020-03-13T18:01:22.550Z
134,2020-03-13T19:01:17.970Z
135,2020-03-13T20:01:17.990Z
159,2020-03-13T21:01:18.050Z
165,2020-03-13T22:01:18.062Z
161,2020-03-13T23:01:18.081Z
132,2020-03-14T00:01:18.096Z
114,2020-03-14T01:01:18.157Z
143,2020-03-14T02:01:18.211Z
136,2020-03-14T03:01:18.209Z
124,2020-03-14T04:01:18.202Z
153,2020-03-14T05:01:18.266Z
151,2020-03-14T06:01:18.293Z
153,2020-03-14T07:01:18.296Z
180,2020-03-14T08:01:18.352Z
174,2020-03-14T09:01:18.383Z
132,2020-03-14T10:01:18.373Z
134,2020-03-14T11:01:18.423Z
131,2020-03-14T12:01:18.488Z
147,2020-03-14T13:01:18.478Z
120,2020-03-14T14:01:19.023Z
115,2020-03-14T15:01:18.588Z
125,2020-03-14T16:01:18.605Z
135,2020-03-14T17:01:18.628Z
135,2020-03-14T18:01:18.683Z
128,2020-03-14T19:01:18.650Z
131,2020-03-14T20:01:18.676Z
139,2020-03-14T21:00:59.183Z
133,2020-03-14T22:00:59.196Z
132,2020-03-14T23:00:59.168Z
110,2020-03-15T00:00:59.229Z
113,2020-03-15T01:00:59.275Z
102,2020-03-15T02:00:59.287Z
109,2020-03-15T03:00:59.280Z
170,2020-03-15T04:00:59.329Z
142,2020-03-15T05:00:59.351Z
134,2020-03-15T06:00:59.372Z
173,2020-03-15T07:00:59.930Z
172,2020-03-15T08:00:59.451Z
135,2020-03-15T09:00:59.490Z
108,2020-03-15T10:00:59.525Z
93,2020-03-15T11:00:59.523Z
94,2020-03-15T12:00:59.611Z
90,2020-03-15T13:00:59.608Z
83,2020-03-15T14:01:00.142Z
90,2020-03-15T15:00:59.641Z
101,2020-03-15T16:00:59.705Z
92,2020-03-15T17:00:59.734Z
110,2020-03-15T18:01:00.292Z
114,2020-03-15T19:00:59.767Z
120,2020-03-15T20:00:59.808Z
120,2020-03-15T21:00:59.842Z
142,2020-03-15T22:00:59.884Z
169,2020-03-15T23:00:59.877Z
172,2020-03-16T00:00:59.908Z
160,2020-03-16T01:01:00.124Z
164,2020-03-16T02:00:59.965Z
147,2020-03-16T03:01:00.501Z
127,2020-03-16T04:00:59.997Z
103,2020-03-16T05:01:00.048Z
118,2020-03-16T06:01:00.067Z
114,2020-03-16T07:01:00.144Z
131,2020-03-16T08:01:00.128Z
104,2020-03-16T09:01:00.124Z
95,2020-03-16T10:01:08.174Z
88,2020-03-16T11:01:08.201Z
80,2020-03-16T12:01:08.232Z
78,2020-03-16T13:01:08.274Z
73,2020-03-16T14:01:08.329Z
75,2020-03-16T15:01:31.167Z
76,2020-03-16T16:01:45.313Z
88,2020-03-16T17:01:31.228Z
121,2020-03-16T18:01:31.256Z
124,2020-03-16T19:01:31.292Z
119,2020-03-16T20:01:31.326Z
124,2020-03-16T21:01:31.373Z
139,2020-03-16T22:01:31.433Z
145,2020-03-16T23:01:35.834Z
149,2020-03-17T00:01:12.300Z
154,2020-03-17T01:01:12.354Z
134,2020-03-17T02:01:18.174Z
156,2020-03-17T03:01:12.470Z
159,2020-03-17T04:01:12.433Z
138,2020-03-17T05:01:20.772Z
151,2020-03-17T06:01:20.876Z
161,2020-03-17T07:01:20.953Z
183,2020-03-17T08:01:20.939Z
145,2020-03-17T09:01:04.774Z
100,2020-03-17T10:01:03.523Z
80,2020-03-17T11:01:03.559Z
76,2020-03-17T12:01:04.202Z
78,2020-03-17T13:01:03.635Z
86,2020-03-17T14:01:03.699Z
99,2020-03-17T15:01:03.692Z
116,2020-03-17T16:00:48.078Z
105,2020-03-17T17:00:48.040Z
106,2020-03-17T18:00:53.221Z
129,2020-03-17T19:00:48.141Z
134,2020-03-17T20:00:48.169Z
125,2020-03-17T21:00:48.162Z
110,2020-03-17T22:00:53.012Z
116,2020-03-17T23:00:48.221Z
116,2020-03-18T00:00:48.307Z
109,2020-03-18T01:00:48.282Z
165,2020-03-18T02:00:48.384Z
199,2020-03-18T03:00:48.336Z
143,2020-03-18T04:00:48.406Z
159,2020-03-18T05:00:48.400Z
165,2020-03-18T06:00:48.415Z
143,2020-03-18T07:00:48.442Z
149,2020-03-18T08:00:48.477Z
160,2020-03-18T09:00:48.488Z
104,2020-03-18T10:00:54.747Z
85,2020-03-18T11:00:48.605Z
73,2020-03-18T12:00:48.614Z
87,2020-03-18T13:02:56.320Z
112,2020-03-18T14:00:56.848Z
106,2020-03-18T15:00:56.450Z
122,2020-03-18T16:00:29.407Z
126,2020-03-18T17:02:37.940Z
122,2020-03-18T18:00:42.667Z
124,2020-03-18T19:00:41.353Z
118,2020-03-18T20:00:41.363Z
115,2020-03-18T21:00:41.468Z
107,2020-03-18T22:00:43.340Z
108,2020-03-18T23:00:41.520Z
108,2020-03-19T00:00:46.184Z
128,2020-03-19T01:00:41.562Z
102,2020-03-19T02:00:41.569Z
102,2020-03-19T03:00:41.584Z
80,2020-03-19T04:00:41.656Z
71,2020-03-19T05:00:31.633Z
86,2020-03-19T06:00:31.648Z
106,2020-03-19T07:00:31.656Z
129,2020-03-19T08:00:31.688Z
131,2020-03-19T09:00:31.700Z
101,2020-03-19T10:01:54.374Z
83,2020-03-19T11:01:54.341Z
74,2020-03-19T12:01:54.415Z
74,2020-03-19T13:00:06.574Z
76,2020-03-19T14:00:06.575Z
78,2020-03-19T15:00:13.019Z
82,2020-03-19T16:00:06.637Z
85,2020-03-19T17:00:16.350Z
88,2020-03-19T18:00:16.369Z
93,2020-03-19T19:00:16.405Z
92,2020-03-19T20:00:15.484Z
94,2020-03-19T21:00:16.183Z
86,2020-03-19T22:00:15.579Z
86,2020-03-19T23:00:15.672Z
82,2020-03-20T00:00:15.647Z
80,2020-03-20T01:00:15.653Z
80,2020-03-20T02:00:15.783Z
82,2020-03-20T03:00:15.704Z
82,2020-03-20T04:00:15.756Z
81,2020-03-20T05:00:16.287Z
88,2020-03-20T06:00:15.809Z
99,2020-03-20T07:02:03.397Z
98,2020-03-20T08:00:03.498Z
91,2020-03-20T09:00:03.404Z
88,2020-03-20T10:00:03.491Z
87,2020-03-20T11:00:03.489Z
83,2020-03-20T12:00:03.512Z
81,2020-03-20T13:00:03.538Z
76,2020-03-20T14:00:03.573Z
89,2020-03-20T15:00:03.703Z
109,2020-03-20T16:00:03.657Z
112,2020-03-20T17:00:03.672Z
116,2020-03-20T18:00:03.689Z
110,2020-03-20T19:01:57.913Z
117,2020-03-20T20:01:57.973Z
116,2020-03-20T21:01:57.999Z
107,2020-03-20T22:01:58.045Z
104,2020-03-20T23:01:58.092Z
